A1,A2,A3,A4,A5,A6,A7,A8,A9,¿Ã≈ªø©∫Œ
19,B,M,B,116.461000,0,346,801,A,0
17,B,M,G,86.566000,0,446,905.400000,A,1
23,B,M,G,136.535000,97.800000,456,840,A,0
29,B,M,G,164.542000,82.200000,205,916.200000,A,1
28,B,M,A,198.953000,83.400000,386,1180.800000,A,1
35,B,M,D,137.505000,36,327,868.500000,A,1
31,B,MH,H,158.128000,55.800000,323,1287.300000,A,1
17,B,M,G,217.023000,54.500000,279,1112.600000,A,0
24,B,M,G,153.476000,26.400000,319,761.700000,A,0
28,B,M,H,162.581000,76.200000,254,780,A,1
36,B,M,A,171.889000,63,252,782.100000,A,1
25,B,ML,K,114.466000,8.400000,105,352.500000,A,1
12,B,M,B,78.210100,96,205,918.600000,A,0
60,B,M,A,181.212000,97.800000,88,883.500000,A,1
25,B,MH,G,187.517000,75.600000,227,1268.100000,A,0
22,B,M,B,156.838000,69.500000,236,797.900000,A,0
19,B,M,F,96.334200,75.600000,198,807.300000,A,1
20,B,M,D,143.757000,40.800000,240,808.500000,A,1
31,B,M,C,86.952600,18.500000,98,1055.300000,A,1
21,B,M,B,110.390000,59,640,1213.700000,A,0
42,B,M,A,176.502000,48,114,1002.600000,A,1
36,B,M,B,155.927000,26.400000,257,932.700000,A,0
37,B,M,H,180.736000,73.800000,343,1045.800000,A,1
30,B,MH,G,235.567000,14,596,1424.300000,A,1
24,B,M,F,110.155000,44.400000,488,1035.600000,A,1
24,B,M,H,126.479000,13.800000,255,833.100000,A,1
27,B,M,H,174.341000,45.600000,514,900.300000,A,1
51,B,M,K,86.512000,34.200000,376,896.700000,A,1
31,B,M,J,144.254000,55,124,772.300000,A,0
42,B,M,J,79.626800,62.400000,320,906.300000,A,0
44,B,M,C,131.610000,0,510,791.700000,A,0
35,B,M,C,192.567000,37.800000,38,974.700000,A,0
20,B,M,G,153.667000,61.200000,282,1074.600000,A,0
25,B,MH,J,203.756000,76.500000,489,1311,A,0
15,B,M,J,127.635000,4.500000,603,963.600000,A,0
21,B,M,G,170.618000,0,192,828.900000,A,0
16,B,M,G,180.996000,143.400000,168,943.500000,A,0
52,B,MH,C,194.225000,70.200000,686,1752,A,0
13,B,M,J,101.648000,127,248,995.800000,A,0
25,B,M,C,217.953000,93,445,1145.400000,A,0
38,B,M,J,137.114000,0,130,758.400000,A,0
15,B,M,I,153.834000,103,297,784,A,0
28,B,M,G,96.079000,63.600000,360,1102.800000,A,0
15,B,M,G,191.724000,22.200000,174,952.200000,A,0
45,B,M,C,142.801000,4.200000,218,1151.700000,A,0
47,B,M,G,91.392800,50.500000,214,814.300000,A,0
38,B,M,J,83.245300,34.200000,307,932.700000,A,0
35,B,M,G,114.987000,87,331,934.200000,A,0
21,B,M,G,158.581000,31.800000,188,762.300000,A,0
34,B,M,J,83.681500,27,448,1251.300000,A,0
37,B,M,C,155.151000,38.400000,20,983.100000,A,1
14,B,M,J,161.747000,96.600000,368,816,A,0
52,B,M,J,181.557000,10.200000,326,877.200000,A,0
41,B,MH,C,141.998000,7.800000,420,1388.400000,A,0
33,B,M,C,199.549000,79.800000,323,1023.900000,A,0
30,B,M,G,104.868000,21.500000,162,961.100000,A,0
33,B,M,G,174.874000,52,134,797.800000,A,0
33,B,M,G,107.417000,91.800000,157,1033.200000,A,0
25,B,M,C,170.546000,26,94,1071.800000,A,0
32,B,MH,I,80.673000,73.500000,354,1268.100000,A,1
36,B,M,J,96.850300,5.400000,299,941.100000,A,0
20,B,M,C,164.619000,33,172,978.300000,A,0
31,B,M,I,120.536000,63,384,1106.400000,A,0
26,B,M,C,158.713000,43.800000,377,779.700000,A,0
18,B,M,C,212.730000,63,349,1048.200000,A,0
20,B,M,J,186.249000,22.800000,506,1202.100000,A,0
34,B,M,C,197.261000,73.500000,554,1006.200000,A,0
24,B,M,I,190.316000,69,313,1061.400000,A,0
31,B,M,C,112.757000,15,271,813.900000,A,0
12,B,M,G,127.448000,115.800000,331,891,A,0
24,B,M,J,116.643000,9.500000,473,786.200000,A,0
30,B,M,G,126.175000,69,428,963.600000,A,0
22,B,M,G,187.419000,6.600000,531,1137.900000,A,0
20,B,M,G,106.812000,40,476,879.700000,A,0
50,B,MH,G,107.876000,42,462,1451.400000,A,0
16,B,M,D,128.169000,47,313,795.800000,A,1
28,B,M,H,122.051000,41.500000,195,896.500000,A,1
24,B,M,D,136.537000,16.200000,342,943.800000,A,1
15,B,M,D,129.238000,50.500000,423,885.100000,A,1
25,B,M,H,118.644000,21.600000,310,849.300000,A,1
57,B,M,H,168.550000,87.600000,252,1009.500000,A,1
20,B,M,G,173.082000,37.200000,135,912.300000,A,0
31,B,M,H,141.858000,94.200000,161,764.100000,A,1
29,B,MH,A,184.211000,63,417,1308.600000,A,1
53,B,M,B,159.174000,53.400000,497,985.200000,A,0
35,B,MH,G,217.490000,84.600000,471,1298.400000,A,1
35,B,M,H,137.703000,9,109,957.300000,A,1
42,B,M,H,131.608000,42,349,761.100000,A,1
38,B,M,D,131.520000,79.200000,410,811.800000,A,1
54,B,M,D,147.432000,4.500000,616,1014.600000,A,1
23,B,M,D,123.994000,37.800000,277,796.500000,A,1
46,B,M,G,175.477000,32,467,1074.800000,A,1
20,B,M,G,160.330000,97.500000,220,889.800000,A,0
28,B,M,B,162.420000,37.200000,741,1245.300000,A,0
17,B,M,C,110.201000,16.200000,67,810.300000,A,1
17,B,M,G,159.506000,22,36,1115.500000,A,0
18,B,M,A,158.650000,73.800000,402,998.700000,A,1
20,B,M,D,118.467000,43.800000,400,951.600000,A,1
33,B,M,D,130.186000,29.400000,459,906,A,1
32,B,M,H,144.304000,7.800000,400,921.300000,A,1
29,B,M,D,130.923000,43.200000,362,906.300000,A,1
12,B,M,H,142.305000,102,304,956.400000,A,1
28,B,M,H,156.204000,114,153,773.400000,A,1
57,B,M,B,189.685000,0,621,1160.700000,A,0
14,B,M,D,123.001000,14.400000,381,877.800000,A,1
41,B,M,B,166.898000,4.800000,546,876.600000,A,0
24,B,M,B,174.273000,105,112,833.100000,A,0
22,B,M,A,194.866000,13.800000,299,1134.900000,A,1
20,B,M,A,152.492000,12.500000,161,818.900000,A,1
40,B,M,B,209.875000,94,494,1073.200000,A,0
27,B,M,B,209.862000,50.400000,437,1049.700000,A,0
47,B,M,H,186.632000,151.200000,471,1103.700000,A,1
57,B,M,B,177.708000,70.200000,283,956.400000,A,0
26,B,M,G,166.310000,61.800000,498,931.800000,A,1
42,B,M,B,153.982000,63.600000,141,978.600000,A,0
30,B,M,G,168.648000,175.200000,595,995.400000,A,1
30,B,M,K,79.556100,35,150,973.700000,A,1
44,B,M,G,206.594000,9.600000,110,984.900000,A,1
40,B,M,B,97.076200,29.400000,171,965.700000,A,0
27,B,M,K,83.769400,106.800000,307,948.900000,A,1
31,B,M,K,90.802600,104.400000,260,1047.900000,A,1
40,B,M,F,78.958500,28.800000,229,995.400000,A,1
14,B,M,G,182.212000,9.500000,233,1003.100000,A,0
18,B,M,H,139.462000,105.600000,320,893.100000,A,1
31,B,M,D,137.312000,68,232,885.500000,A,1
16,B,M,C,128.169000,47,313,795.800000,A,0
34,B,MH,H,114.857000,72,631,1432.800000,A,1
40,B,M,B,93.448300,94.200000,291,835.800000,A,0
20,B,M,K,105.556000,90,451,750.600000,A,1
16,B,M,B,93.606500,54,477,1135.800000,A,0
24,B,M,B,111.319000,99,257,884.100000,A,0
30,B,M,F,107.653000,74.500000,517,1045.900000,A,1
41,B,M,H,111.513000,133.800000,340,808.500000,A,1
27,B,M,G,87.929600,141,641,1212.600000,A,0
18,B,M,F,99.227800,148.500000,235,1024.500000,A,1
24,B,M,D,120.885000,31,424,794.200000,A,1
18,B,M,K,108.716000,33,283,898.800000,A,1
28,B,M,H,203.452000,69.600000,489,1143.900000,A,1
34,B,MH,G,248.227000,40.200000,618,1586.700000,A,1
26,B,L,G,170.242000,0,45,154.800000,A,1
40,B,M,G,186.590000,9,117,930.600000,A,1
32,B,M,G,169.269000,34.200000,150,750.600000,A,1
42,B,MH,G,161.057000,129,435,1334.400000,A,1
26,B,M,B,208.868000,14.400000,374,1252.200000,A,1
32,B,M,B,165.271000,28,315,1004.800000,A,0
49,B,M,H,171.714000,19.200000,281,864,A,1
34,B,MH,A,271.687000,39.600000,397,1669.200000,A,1
73,B,M,H,185.661000,0,245,1044,A,1
19,B,M,G,217.038000,90.600000,280,1079.400000,A,0
19,B,M,B,170.664000,62.400000,260,1007.100000,A,0
21,B,MH,B,323.842000,82.800000,404,1843.200000,A,0
18,B,M,G,180.395000,16.800000,352,798.900000,A,0
18,B,MH,A,251.756000,148.800000,647,1407.600000,A,1
16,B,MH,B,168.335000,10,364,1381.900000,A,0
26,B,M,G,157.172000,36,512,1210.200000,A,1
48,B,M,H,202.563000,93.600000,511,1110,A,1
16,B,M,H,140.348000,7.800000,173,776.100000,A,1
29,B,M,D,130.699000,83.400000,413,1027.500000,A,0
56,B,M,H,188.064000,62,373,1064.300000,A,1
34,B,M,G,198.113000,136.500000,191,1042.500000,A,1
50,B,M,H,162.492000,78.600000,220,949.200000,A,1
16,B,M,B,156.702000,29.400000,402,1026.600000,A,0
33,B,M,H,137.858000,34.200000,257,957,A,1
21,B,M,H,131.198000,90.600000,425,909,A,1
28,B,M,H,142.746000,38.400000,258,973.800000,A,1
15,B,M,B,192.586000,0,133,925.800000,A,0
18,B,M,J,91.416100,63.600000,378,809.400000,A,0
46,B,M,I,167.197000,67.500000,291,890.400000,A,0
26,B,M,G,119.742000,61.200000,540,858,A,0
45,B,MH,G,249.268000,107.400000,235,1408.500000,A,0
34,B,M,I,93.435700,97.200000,244,1086.300000,A,0
15,B,M,J,152.338000,6,408,832.800000,A,0
21,B,M,G,107.455000,40.200000,328,763.500000,A,0
29,B,MH,I,270.972000,14.500000,588,1490.200000,A,0
14,B,M,C,166.047000,18.600000,129,1000.200000,A,0
20,B,M,J,174.073000,136.800000,417,950.400000,A,0
28,B,M,J,82.631200,58.200000,300,770.700000,A,0
41,B,M,C,207.097000,44,462,1126.700000,A,0
19,B,MH,G,133.847000,112.800000,549,1283.100000,A,0
25,B,M,J,106.008000,131.400000,227,792.300000,A,0
30,B,M,C,109.751000,64.200000,351,1040.400000,A,0
53,B,M,C,95.058300,63,293,927,A,0
36,B,M,J,149.731000,6,444,1089.300000,A,1
26,B,M,G,189.204000,22.800000,39,918.600000,A,0
21,B,MH,I,152.830000,77.400000,416,1348.500000,A,0
28,E,MH,H,296.736000,62,415,1505.600000,A,1
13,E,MH,G,229.392000,54,819,1422.600000,A,0
21,E,MH,C,166.523000,111,113,1332,A,0
40,E,MH,C,221.526000,23.400000,164,1671.300000,A,0
14,E,H,A,419.460000,66.600000,850,2554.500000,A,1
23,E,H,B,379.126000,132.600000,1226,2250.900000,A,0
30,E,M,H,272.572000,66.600000,589,1235.700000,A,1
65,E,MH,A,323.575000,85.200000,532,1721.100000,A,1
13,E,MH,A,392.188000,0,885,1884.900000,A,1
23,E,MH,A,333.795000,49.500000,708,1666.200000,A,1
49,E,H,B,537.752000,66,674,2640.900000,A,1
20,E,M,G,222.020000,51,350,1144.800000,A,0
71,E,MH,A,372.834000,31.800000,215,1829.700000,A,1
16,E,M,G,229.356000,0,591,1064.100000,A,0
22,E,MH,A,373.701000,66.600000,857,1759.800000,A,1
21,E,MH,B,245.571000,9,485,1293,A,0
40,E,MH,A,257.889000,37.800000,370,1321.800000,A,1
21,E,MH,B,239.634000,82.200000,754,1485.300000,A,0
15,E,H,G,356.261000,15.600000,1323,2484.600000,A,0
28,E,M,H,240.313000,88.500000,306,1104,A,1
18,E,MH,G,251.441000,51.600000,471,1452.600000,A,0
21,E,H,G,436.736000,135,943,2763.300000,A,0
24,E,M,B,213.748000,37.200000,421,1124.100000,A,0
13,E,MH,A,302.211000,40.200000,588,1678.200000,A,1
43,E,MH,G,252.717000,54.600000,808,1741.800000,A,0
23,E,H,B,375.289000,106.800000,830,2031,A,0
39,E,MH,B,264.534000,37.500000,528,1276.500000,A,0
41,E,M,H,255.212000,78,347,1131.600000,A,1
37,E,MH,A,257.280000,94.800000,237,1417.800000,A,1
23,E,MH,B,341.875000,40.200000,648,1790.700000,A,0
12,E,MH,A,256.750000,51,509,1435.800000,A,1
32,E,MH,A,270.808000,69,459,1584,A,1
25,E,M,A,257.519000,39,350,1185,A,1
22,E,MH,A,309.232000,85.800000,680,1576.500000,A,1
14,E,MH,A,274.226000,57.600000,484,1396.800000,A,1
15,E,M,B,225.115000,45,402,1004.100000,A,0
14,E,MH,B,235.082000,97.800000,492,1512.300000,A,0
56,E,M,G,235.554000,82.800000,140,1059.600000,A,1
20,E,MH,B,260.457000,43.500000,493,1355.700000,A,0
18,E,MH,B,304.654000,41.400000,475,1436.400000,A,0
39,E,MH,A,263.741000,80.400000,334,1428.300000,A,1
33,E,M,A,242.275000,57.600000,195,1120.200000,A,1
22,E,M,G,263.563000,0,319,1114.200000,A,0
20,E,H,G,324.595000,0,1114,2068.500000,A,0
18,E,MH,A,275.753000,126.600000,739,1476.900000,A,1
37,E,MH,H,299.568000,11.400000,713,1767.900000,A,0
27,E,M,H,264.314000,6,200,1164.600000,A,1
12,E,MH,A,266.582000,50.400000,586,1684.500000,A,1
29,E,H,H,516.472000,28.200000,308,2719.500000,A,1
20,E,MH,G,240.787000,0,914,1525.500000,A,0
54,E,M,G,232.122000,47,518,1252.400000,A,1
23,E,MH,A,250.971000,124.500000,658,1356.600000,A,1
31,E,H,H,277.047000,22,589,1949.500000,A,1
48,E,MH,C,232.748000,96,171,1726.800000,A,0
16,E,M,B,263.101000,44.400000,459,1243.200000,A,0
33,E,H,G,310.363000,47,954,2075.600000,A,1
33,E,MH,C,238.759000,87.600000,160,1917.300000,A,0
18,E,MH,A,272.590000,77.400000,719,1437.600000,A,1
21,E,MH,B,304.670000,41.400000,783,1571.700000,A,0
26,E,M,H,214.264000,47.400000,361,1035.600000,A,1
31,E,M,H,218.256000,27,494,1101,A,1
44,E,MH,A,245.169000,25.800000,491,1568.700000,A,1
37,E,M,B,208.209000,115.800000,736,1243.500000,A,0
30,E,H,G,375.027000,40.200000,617,2418.900000,A,1
24,E,MH,A,293.214000,12,807,1636.200000,A,1
29,E,H,H,364.098000,0,522,2267.700000,A,1
43,E,H,B,371.441000,66.600000,360,2045.100000,A,0
24,E,MH,B,371.443000,62,1091,1937.900000,A,0
17,E,MH,B,234.771000,63.600000,629,1266,A,0
13,E,H,B,344.451000,55.200000,1108,2078.400000,A,1
24,E,M,B,235.520000,31.200000,482,1191,A,0
33,E,MH,I,211.595000,96,617,1463.100000,A,0
18,E,MH,G,316.120000,84,742,1478.100000,A,0
41,E,M,H,248.070000,53,174,1134.500000,A,1
32,E,M,H,247.966000,27,535,1072.500000,A,1
39,E,M,K,154.453000,39,115,1006.800000,A,1
21,E,MH,B,225.764000,0,631,1314,A,0
19,E,MH,G,369.847000,33,854,1716.600000,A,0
43,E,MH,B,283.582000,30.500000,777,1786.100000,A,0
36,E,H,H,544.400000,15.600000,291,2616.900000,A,1
58,E,MH,G,266.830000,27,306,1312.500000,A,1
17,E,M,G,210.122000,21.600000,462,1007.400000,A,0
13,E,M,B,210.393000,50.400000,695,1258.800000,A,0
29,E,MH,G,257.707000,21,627,1444.500000,A,1
19,E,MH,A,306.901000,6,725,1522.200000,A,1
24,E,H,B,397.817000,18,1206,2082,A,0
28,E,H,B,314.353000,41.500000,542,2045.500000,A,0
40,E,MH,H,380.709000,80,252,1813.700000,A,1
33,E,MH,C,226.315000,0,96,1484.100000,A,0
65,E,MH,H,276.819000,0,217,1851,A,1
23,E,M,A,269.262000,58.800000,601,1236.300000,A,1
36,E,MH,A,255.321000,51.500000,302,1517,A,1
21,E,M,B,217.056000,7.800000,620,1130.100000,A,0
42,E,MH,H,285.687000,56.400000,291,1317.600000,A,1
27,E,H,A,449.440000,13.800000,998,2406,A,1
35,E,M,K,183.077000,13.500000,390,1137.300000,A,1
29,E,M,A,236.793000,45.600000,420,1197.900000,A,1
17,E,M,A,227.172000,45.600000,691,1206.900000,A,1
57,E,MH,H,317.630000,7.200000,482,1853.700000,A,1
47,E,MH,H,307.907000,43,372,1597.900000,A,1
26,E,MH,G,293.011000,81.500000,420,1339.400000,A,1
24,E,MH,G,271.096000,22.800000,547,1346.700000,A,0
12,E,M,A,226.960000,37.800000,622,1081.800000,A,1
58,E,MH,C,195.439000,15,354,1528.800000,A,1
34,E,MH,A,254.849000,38.500000,163,1641.700000,A,1
27,E,MH,G,309.225000,0,661,1711.200000,A,1
26,E,M,G,227.750000,78.500000,640,1067.300000,A,1
20,E,M,B,208.893000,45,613,1047.300000,A,0
17,E,H,G,261.936000,11.400000,791,2241,A,1
33,E,H,G,371.873000,33.600000,590,2131.800000,A,1
25,E,MH,A,235.202000,63.600000,696,1415.400000,A,1
22,E,MH,E,192.577000,31.800000,522,1345.200000,A,0
33,E,M,G,222.209000,37,151,1076.800000,A,1
19,E,M,G,251.242000,48,585,1176,A,0
15,E,H,A,465.065000,39.600000,1107,2403.600000,A,1
42,E,H,G,374.833000,90,652,1950.600000,A,1
20,E,MH,G,182.303000,43.800000,515,1524.900000,A,1
22,E,MH,A,227.179000,77.400000,578,1303.200000,A,1
35,E,MH,A,273.446000,24.600000,337,1478.400000,A,1
39,E,MH,E,221.272000,2.500000,242,1519.900000,A,0
14,E,MH,B,249.460000,0,931,1524.900000,A,0
16,E,MH,A,282.012000,72,594,1513.800000,A,1
19,E,MH,E,188.628000,42,380,1301.700000,A,0
30,E,MH,H,287.999000,119.500000,580,1803.700000,A,1
46,E,MH,A,286.777000,32.400000,333,1475.400000,A,1
12,E,MH,A,340.751000,111.600000,608,1794.300000,A,1
23,E,M,G,171.430000,7.800000,349,1213.200000,A,1
30,E,MH,H,326.033000,75,270,1699.200000,A,1
42,E,M,C,202.879000,46.800000,205,1235.700000,A,1
25,E,MH,A,318.151000,42,802,1555.200000,A,1
24,E,MH,A,323.345000,64.500000,853,1650,A,1
39,E,H,G,480.931000,180,724,2442.600000,A,0
27,E,H,A,347.861000,86,430,2097.500000,A,1
17,E,MH,B,337.959000,18,686,1783.200000,A,0
24,E,M,K,162.967000,35.400000,136,1064.400000,A,1
53,E,MH,C,210.506000,0,300,1348.500000,A,1
14,E,MH,B,288.198000,94,811,1785.400000,A,0
54,E,MH,H,283.548000,85.200000,734,1683.900000,A,1
59,E,M,G,220.973000,0,340,979.200000,A,1
17,E,H,B,294.748000,86,1045,2009.600000,A,0
26,E,MH,C,252.167000,9,394,1804.500000,A,1
14,E,MH,G,352.286000,60.600000,900,1804.800000,A,0
21,E,M,A,277.821000,12,659,1256.400000,A,1
43,E,MH,G,244.183000,9,689,1548.900000,A,1
44,E,H,B,350.680000,63.600000,1035,2113.200000,A,0
14,E,MH,B,269.002000,68.400000,738,1570.500000,A,0
12,E,M,C,179.890000,47.400000,247,1181.100000,A,1
14,E,MH,B,327.019000,60.600000,833,1572.600000,A,0
57,E,H,C,305.646000,37.200000,240,2658.600000,A,1
30,E,MH,A,280.853000,15,1013,1697.700000,A,1
26,E,MH,G,284.521000,88.500000,184,1429.800000,A,1
20,E,M,A,233.497000,31.800000,389,1068.300000,A,1
31,E,H,H,325.136000,39,1104,2007.300000,A,1
33,E,MH,G,304.695000,81,172,1567.200000,A,1
23,E,MH,B,277.244000,9.600000,466,1742.100000,A,0
15,E,M,K,161.640000,25.800000,271,1206.900000,A,1
14,E,H,B,361.096000,22.800000,1085,2275.500000,A,0
18,E,M,C,153.196000,51.600000,70,613.200000,A,0
26,E,M,G,184.019000,9.600000,157,1075.200000,A,1
25,E,MH,A,293.248000,91,458,1686.700000,A,1
15,E,MH,G,287.099000,64.500000,373,1441.800000,A,0
31,E,M,G,207.761000,110.400000,326,1029,A,1
28,E,MH,B,319.456000,111.500000,616,1655.300000,A,0
13,E,M,B,242.916000,100.800000,347,1037.700000,A,0
28,E,M,H,214.745000,0,623,1201.500000,A,1
41,E,MH,B,341.032000,15,246,1799.700000,A,1
25,E,M,G,245.422000,37.500000,332,1256.400000,A,0
27,E,MH,B,288.736000,48,508,1328.100000,A,0
17,E,MH,A,227.930000,27,332,1346.700000,A,1
16,E,H,B,342.359000,90.600000,609,2476.800000,A,0
44,E,M,E,168.982000,22.200000,439,1125.300000,A,0
20,E,MH,B,289.237000,72.500000,437,1450.400000,A,0
55,E,MH,K,193.194000,39,414,1595.700000,A,1
33,E,MH,E,173.114000,36.500000,348,1328.900000,A,1
17,E,MH,B,272.481000,138,392,1847.100000,A,0
23,E,MH,G,199.854000,31.200000,318,1778.400000,A,1
62,E,MH,H,306.856000,148.200000,672,1741.800000,A,1
29,E,M,B,228.820000,116.400000,556,1142.100000,A,0
33,E,MH,B,296.376000,31.200000,279,1480.500000,A,0
22,E,M,K,177.729000,37.800000,242,1138.800000,A,1
23,E,MH,A,236.468000,138.600000,246,1386,A,1
12,E,MH,B,232.743000,139.800000,369,1383.900000,A,0
47,E,H,A,339.434000,97.200000,1281,1979.100000,A,1
26,E,MH,H,251.605000,0,289,1443,A,1
25,E,MH,A,290.528000,30,127,1479.300000,A,1
32,E,H,H,282.645000,46.800000,1192,1996.500000,A,1
24,E,M,A,207.157000,73,353,1059.700000,A,1
46,E,H,B,516.816000,26.500000,310,2692,A,0
15,E,MH,B,230.016000,98.500000,301,1332.400000,A,0
38,E,H,B,503.935000,52,818,2452.600000,A,0
50,E,MH,A,306.403000,65.500000,638,1465,A,1
63,E,MH,A,286.654000,14.400000,510,1442.100000,A,1
24,E,M,C,198.305000,22.800000,356,1051.500000,A,1
14,E,MH,B,269.770000,88.500000,475,1628.400000,A,0
22,E,MH,B,279.012000,73.200000,258,1423.200000,A,0
30,E,H,H,418.643000,64.800000,553,2264.100000,A,1
53,E,H,G,455.155000,49.800000,1275,2844,A,1
31,E,MH,G,298.063000,107.400000,151,1482.900000,A,1
44,E,MH,H,369.226000,23.400000,619,1772.100000,A,1
35,E,MH,B,283.093000,5.400000,137,1285.500000,A,0
46,E,MH,H,240.489000,14.400000,131,1338,A,1
37,E,M,G,164.196000,0,147,1241.700000,A,1
16,E,M,K,170.030000,49.800000,112,1069.800000,A,1
15,E,MH,B,274.237000,55.800000,622,1509.600000,A,1
44,E,MH,A,326.261000,39,188,1751.400000,A,1
44,E,MH,B,306.573000,80,556,1520,A,0
43,E,MH,G,281.487000,34.800000,338,1850.700000,A,1
19,E,H,A,375.864000,39,788,2312.700000,A,1
50,E,M,C,189.729000,18.600000,212,1184.100000,A,1
24,E,M,B,231.613000,78.600000,176,1176.600000,A,0
14,E,MH,G,339.317000,81,632,1867.800000,A,0
42,E,MH,B,254.144000,90,562,1424.400000,A,0
55,E,M,E,166.051000,42,327,1173.300000,A,0
21,E,M,G,221.930000,71.400000,155,1251.300000,A,0
12,E,M,C,175.951000,0,392,1213.200000,A,1
21,E,MH,G,268.321000,7.200000,302,1276.800000,A,0
29,E,MH,G,290.125000,23.400000,410,1576.200000,A,1
19,E,M,G,258.728000,70.800000,369,1117.500000,A,0
14,E,MH,B,354.256000,144.600000,459,1684.500000,A,0
30,E,MH,B,259.460000,139.500000,646,1538.700000,A,0
22,E,M,K,168.134000,25.200000,129,1042.200000,A,1
19,E,MH,G,380.927000,55.800000,428,1884,A,1
55,E,M,B,204.898000,61.800000,450,1188.900000,A,0
28,E,MH,A,266.012000,29,389,1332.500000,A,1
25,E,MH,A,293.954000,36,594,1409.100000,A,1
23,D,M,G,135.487000,11.500000,93,732.700000,A,1
38,D,M,G,201.605000,55.800000,38,791.400000,A,1
26,D,M,G,164.421000,25.200000,319,623.700000,A,1
33,D,M,B,189.838000,18,256,797.100000,A,0
52,D,M,H,235.564000,58.800000,170,943.500000,A,1
46,D,M,B,168.173000,23.400000,236,665.700000,A,0
36,D,M,B,196.293000,42,250,788.100000,A,0
34,D,M,G,217.281000,39,198,947.100000,A,1
48,D,M,A,184.906000,43,163,801.400000,A,1
49,D,M,G,187.048000,47.400000,142,721.800000,A,1
30,D,M,H,210.786000,43.500000,214,960.300000,A,1
35,D,M,G,216.470000,3,226,841.800000,A,1
43,D,M,B,163.245000,42,169,603.900000,A,0
50,D,M,H,214.550000,67.800000,348,864.900000,A,1
36,D,M,B,226.490000,9,221,941.400000,A,0
44,D,M,B,200.525000,0,188,840,A,0
45,D,M,H,201.893000,44,159,808.400000,A,1
42,D,M,G,202.422000,139.800000,237,828.600000,A,1
35,D,M,B,179.341000,58.800000,294,732.900000,A,0
37,D,M,G,182.026000,88,176,689.500000,A,1
38,D,M,H,178.497000,45.500000,207,704.300000,A,1
52,D,M,H,193.507000,85.200000,155,793.800000,A,1
33,D,M,A,177.503000,26.500000,438,750.100000,A,1
26,D,M,B,235.941000,68.400000,122,981,A,0
35,D,M,H,163.571000,53.400000,206,612.600000,A,1
47,D,M,B,183.054000,42,111,813.900000,A,0
49,D,M,G,189.524000,29.400000,50,739.500000,A,1
33,D,M,H,182.875000,47.400000,278,767.400000,A,1
