생산량,생산비용,공급품질평가(%),배송지연(일),결함률,품질평가점수,유지관리(시간),가동중단 시간비율(%),재고회전율,재고부족율(%),근로생산성(%),월별안전사고건,에너지소비량(kWh),에너지효율,추가공정시간,추가재료비용($),결함상태
230,14544.37,81.12,4,2.34,68.90,3,1.10,9.33,0.03,96.14,7,2097.94,0.46,1.87,365.67,1
761,16416.82,89.71,4,4.79,88.36,23,1.52,5.25,0.02,86.61,6,1391.60,0.27,8.20,316.85,1
869,11923.36,92.21,2,1.83,89.66,3,1.24,3.79,0.00,87.57,3,2428.39,0.42,5.97,114.35,1
443,5139.97,90.93,0,1.22,87.74,21,4.11,7.89,0.04,81.38,1,1141.27,0.45,5.59,483.01,1
591,8700.18,84.99,0,2.46,70.03,21,3.19,7.42,0.06,94.36,3,1566.70,0.17,3.14,188.84,1
513,15896.93,86.87,0,2.31,70.11,16,4.75,9.74,0.03,82.95,9,2295.39,0.47,2.04,148.62,1
485,6487.67,91.18,5,3.13,90.49,1,3.96,8.01,0.07,97.62,1,4201.55,0.29,1.88,432.17,1
291,11022.41,90.29,4,3.87,95.06,19,3.50,6.05,0.10,90.81,1,4373.02,0.42,3.48,405.95,1
376,17001.06,81.99,4,2.79,94.09,5,1.30,9.22,0.05,86.43,7,1773.67,0.28,9.98,141.90,0
260,8060.53,80.32,3,0.97,98.60,21,3.65,6.61,0.05,90.95,4,1495.76,0.33,4.62,423.01,1
559,13326.27,99.27,1,4.36,83.26,0,3.58,5.57,0.02,84.37,5,3536.65,0.23,8.77,343.61,1
413,15996.07,87.54,3,1.89,96.35,7,2.30,7.33,0.04,80.50,7,4218.49,0.16,5.94,392.76,0
121,14239.78,92.06,5,4.87,92.34,17,3.44,8.67,0.00,92.07,6,4854.89,0.40,7.00,491.23,1
352,7820.37,81.59,0,1.03,95.79,20,2.22,4.26,0.07,94.28,6,1027.19,0.10,2.41,177.78,1
847,10330.77,93.66,3,4.81,60.47,3,1.68,2.86,0.03,97.60,6,2654.71,0.33,3.47,301.75,1
956,16756.88,98.65,0,0.91,98.64,4,2.33,5.46,0.05,95.44,6,3935.95,0.45,5.59,401.34,1
660,13313.40,91.51,5,1.54,78.94,4,4.48,3.72,0.03,98.53,7,4314.24,0.19,8.93,273.46,0
574,5078.44,82.52,5,0.71,91.93,14,1.92,5.44,0.06,99.72,0,1249.14,0.23,1.39,121.86,1
158,16414.86,91.63,2,3.67,65.09,9,2.02,9.93,0.04,94.90,2,3722.46,0.33,5.56,144.58,1
781,16186.01,88.13,4,2.45,70.86,6,3.76,7.55,0.09,93.47,7,1298.39,0.44,5.11,214.00,1
799,19371.10,92.97,5,3.16,64.93,10,0.10,8.57,0.03,83.63,6,1632.61,0.33,7.70,235.96,1
662,9584.06,86.19,1,2.09,66.98,21,2.81,4.54,0.08,95.80,8,2510.27,0.12,9.98,453.23,1
975,18149.76,84.04,5,4.58,83.56,21,3.66,4.88,0.03,86.62,2,1053.24,0.29,4.20,104.81,1
666,19945.02,98.18,1,4.55,70.17,17,4.16,4.68,0.08,89.21,6,2038.94,0.33,4.85,409.54,1
343,10524.64,95.21,1,4.89,70.36,7,3.23,4.60,0.02,80.80,3,2871.25,0.12,4.89,401.38,1
931,11729.16,93.53,2,4.56,79.53,5,2.82,7.56,0.08,97.78,0,3776.05,0.14,1.73,325.70,1
584,13895.67,95.13,2,2.34,67.02,4,4.79,9.76,0.09,81.17,3,3097.05,0.35,7.33,290.03,1
918,10872.89,89.48,1,4.96,69.89,6,2.31,5.42,0.04,83.48,8,1659.93,0.14,5.28,169.28,1
746,11189.33,84.52,4,2.63,98.95,21,2.83,6.53,0.10,86.68,4,3492.20,0.46,6.51,271.61,1
120,15434.27,92.33,4,2.99,75.89,14,3.76,7.62,0.02,85.26,6,2757.01,0.47,1.49,177.97,1
373,10332.40,89.37,0,0.84,79.62,3,3.99,8.38,0.00,90.64,7,1445.88,0.30,7.03,243.96,0
487,16912.96,82.96,5,4.53,62.96,18,3.87,2.88,0.02,91.43,0,2955.03,0.48,8.18,362.82,1
700,6394.86,99.69,3,4.11,61.39,12,0.11,6.55,0.00,88.50,3,3809.98,0.30,5.86,474.37,1
415,13823.03,84.18,5,1.13,78.75,0,2.63,4.19,0.10,84.81,9,1348.05,0.48,4.04,239.26,0
113,12214.59,82.61,3,4.00,75.95,0,0.27,6.93,0.08,99.21,3,4169.99,0.18,9.80,242.30,1
341,14634.88,84.07,3,3.32,65.48,21,2.75,3.74,0.04,88.27,1,1888.02,0.24,3.51,395.32,1
664,13422.27,91.31,3,4.37,75.83,23,3.47,9.12,0.05,96.46,2,3285.34,0.39,4.50,425.52,1
997,13409.90,80.42,2,3.65,84.98,11,2.25,8.89,0.10,84.32,8,2696.22,0.44,2.25,456.41,1
439,14052.31,80.69,5,2.96,98.52,17,4.06,4.90,0.07,93.51,9,1027.18,0.38,1.02,336.23,1
191,15147.02,88.92,4,3.24,93.26,8,2.67,5.09,0.04,90.13,5,1533.65,0.35,3.34,174.04,1
466,17074.83,96.33,5,0.91,78.54,7,1.68,7.61,0.05,82.93,1,3314.66,0.28,1.78,286.51,0
527,17375.74,81.73,2,1.37,65.13,8,4.49,2.65,0.05,98.61,1,2455.32,0.26,7.85,272.88,1
608,12473.84,90.77,3,1.44,80.48,19,2.26,3.09,0.10,82.51,6,4692.86,0.35,1.03,204.97,1
875,6155.87,98.26,2,3.48,71.16,1,2.03,6.50,0.00,94.10,0,2329.93,0.26,3.01,288.93,1
134,5878.26,87.76,0,4.60,66.45,0,0.20,3.19,0.07,93.05,4,3148.60,0.16,7.03,278.62,1
305,10013.57,96.59,2,2.32,77.05,12,1.82,4.22,0.06,86.83,6,3274.85,0.14,4.59,183.80,1
180,16773.45,82.67,3,1.43,65.24,9,4.25,7.18,0.07,83.71,2,3109.87,0.47,8.49,461.37,1
661,15615.21,98.71,5,3.42,87.96,7,3.80,2.12,0.06,83.57,3,2910.34,0.11,5.54,454.14,1
971,16829.22,95.03,2,4.42,78.25,6,1.10,3.44,0.00,91.71,4,2348.25,0.14,6.88,403.85,1
487,12759.04,98.83,4,3.87,81.25,23,2.07,9.44,0.01,90.94,2,4635.05,0.28,6.37,260.38,1
101,11602.98,93.53,4,4.41,65.86,11,0.98,7.31,0.09,97.52,5,2803.21,0.21,6.74,248.14,1
665,9922.89,98.76,5,3.88,83.34,11,2.99,2.36,0.10,96.39,7,3625.91,0.15,4.36,343.25,1
205,11510.29,85.51,1,1.13,99.40,15,3.77,6.69,0.07,80.65,6,1270.62,0.15,1.46,340.24,1
921,8309.18,94.02,4,2.25,71.43,11,4.37,9.68,0.09,84.67,1,3050.03,0.40,5.13,347.31,1
802,16034.95,98.59,5,4.68,62.89,13,0.16,9.79,0.04,94.41,4,4088.05,0.37,2.86,134.33,1
829,18996.70,95.96,3,1.11,80.97,19,4.35,5.86,0.09,87.43,3,2568.88,0.39,2.63,303.61,1
655,14638.48,94.77,5,1.28,76.33,12,1.91,7.36,0.08,95.80,3,4245.72,0.29,6.53,374.40,1
301,14542.66,87.74,4,1.81,71.88,19,3.68,6.63,0.07,97.15,3,3641.34,0.37,7.89,449.12,1
962,6775.04,86.09,3,4.56,95.39,0,1.10,5.76,0.09,81.67,3,1080.12,0.19,9.75,443.08,1
915,11148.57,99.66,5,4.83,88.95,2,3.24,3.04,0.00,95.53,1,1383.05,0.26,7.95,111.06,1
370,17597.03,92.86,2,3.44,86.79,19,0.13,7.72,0.02,92.48,7,2277.53,0.41,3.58,161.41,1
561,13578.08,99.53,3,2.86,70.28,4,4.76,9.94,0.01,92.28,4,3521.97,0.22,5.03,444.07,1
826,13816.54,87.54,2,1.44,84.72,11,3.31,7.03,0.05,98.60,7,2266.18,0.43,9.94,492.91,1
351,7767.14,96.04,3,2.86,78.40,2,2.56,8.40,0.00,93.11,3,3945.50,0.45,4.71,146.29,0
801,10433.53,88.69,2,3.00,91.30,19,3.63,4.15,0.02,92.95,4,1183.66,0.27,2.79,310.58,1
395,10017.67,97.39,2,3.84,72.37,4,1.63,4.72,0.02,95.19,4,1866.81,0.25,9.50,130.86,1
824,5392.95,83.61,3,1.49,85.73,0,3.13,9.34,0.07,97.33,5,2632.01,0.35,4.47,162.56,1
437,9096.06,86.52,3,4.82,62.66,9,0.70,4.03,0.08,91.68,9,4976.55,0.41,8.59,457.19,1
978,12771.18,95.12,2,2.50,80.64,9,3.58,7.59,0.05,82.70,2,2137.76,0.26,8.39,150.54,1
152,9480.88,87.88,0,3.90,73.84,12,2.16,9.09,0.03,90.41,8,3884.13,0.17,8.53,351.74,1
891,19110.19,92.16,2,3.88,86.89,15,4.45,3.85,0.10,81.39,0,1880.11,0.11,7.01,350.30,1
316,8889.45,88.89,4,1.69,98.04,19,1.56,7.65,0.00,83.70,9,4511.40,0.35,4.63,179.46,1
863,11444.85,94.85,3,3.07,79.42,3,0.21,5.15,0.03,98.26,7,2551.03,0.21,7.01,499.36,1
287,18090.95,84.57,5,4.52,78.65,13,3.25,2.95,0.06,82.38,9,4603.61,0.29,8.53,238.95,1
479,17629.00,81.17,3,2.64,86.18,16,3.42,8.11,0.08,91.58,2,2367.34,0.25,4.16,462.04,1
592,7791.52,86.00,1,4.75,64.14,4,2.77,3.34,0.08,86.47,4,1034.58,0.17,3.67,479.31,1
140,17039.65,89.49,5,1.47,70.14,12,3.42,4.02,0.00,91.11,2,3068.08,0.30,4.09,479.60,1
256,11872.80,83.36,2,0.83,96.76,2,2.62,8.26,0.07,84.70,9,3099.15,0.28,5.96,401.14,0
114,12244.53,87.10,1,4.51,86.80,4,3.46,7.94,0.07,88.89,0,1479.34,0.35,1.47,201.52,1
912,7002.20,88.00,3,4.31,60.54,15,0.22,4.03,0.02,97.35,9,1939.85,0.20,8.01,148.26,1
164,6209.02,81.15,2,4.97,68.19,18,1.84,9.53,0.01,87.52,4,4133.98,0.19,2.25,327.95,1
956,15919.09,91.67,2,3.56,87.31,18,1.05,3.72,0.07,87.06,7,1147.02,0.43,2.20,244.02,1
938,12446.92,97.69,4,4.72,90.58,16,0.50,9.95,0.02,88.92,4,2958.11,0.38,2.78,432.42,1
620,11552.76,83.03,4,4.22,93.59,17,1.17,7.90,0.00,82.01,3,3121.63,0.41,6.19,398.00,1
443,15942.62,91.96,0,4.30,71.69,17,0.96,5.14,0.02,87.75,8,3754.85,0.15,3.57,210.59,1
228,16482.69,93.29,4,3.06,97.24,22,4.87,3.04,0.00,80.14,0,1149.83,0.19,4.31,106.81,1
747,7383.62,88.39,5,2.22,82.12,7,1.43,4.56,0.02,90.07,4,3342.59,0.33,9.38,194.93,0
571,14153.38,94.02,2,4.71,87.86,17,1.15,3.55,0.03,96.96,0,1012.39,0.44,8.62,326.85,1
238,16270.63,90.09,0,2.92,64.91,18,2.10,4.85,0.09,92.15,9,2998.74,0.43,6.20,363.31,1
598,14854.33,80.15,3,2.51,98.52,9,2.11,4.36,0.02,80.61,8,4645.13,0.12,8.80,368.68,0
774,5855.82,80.77,2,0.72,92.55,23,1.63,6.70,0.09,99.50,7,3677.00,0.12,1.58,342.79,1
388,8925.59,99.58,2,2.50,93.53,10,4.41,7.72,0.03,98.89,6,3493.69,0.31,2.58,481.30,0
478,8704.68,88.41,3,3.15,80.63,15,0.81,7.00,0.06,92.69,6,4989.82,0.19,9.36,143.27,1
872,18593.82,90.04,5,1.13,75.08,19,0.91,8.39,0.09,81.05,1,4947.49,0.31,6.45,262.65,1
140,16390.97,91.64,4,3.67,94.25,15,2.11,3.24,0.08,94.61,0,4618.76,0.48,8.47,269.86,1
234,16650.66,97.29,3,4.59,93.95,19,4.52,2.82,0.07,83.52,9,2809.22,0.26,7.57,366.23,1
300,5980.49,89.14,0,1.47,65.57,15,3.95,6.50,0.07,86.87,9,2510.31,0.37,7.84,109.16,1
939,12313.57,89.50,1,1.42,83.21,1,1.17,6.75,0.02,91.22,8,2179.53,0.27,3.88,282.28,1
147,18596.56,93.94,5,3.97,89.86,9,0.85,6.26,0.07,95.22,0,2554.99,0.21,8.07,322.28,1
602,7088.68,81.66,0,4.44,92.19,18,2.50,9.93,0.08,87.27,0,4316.09,0.12,7.16,360.34,1
673,11166.43,89.61,5,1.35,97.01,10,0.42,6.59,0.00,99.32,9,4491.30,0.47,1.36,201.95,0
827,10210.15,81.38,5,1.78,77.87,17,3.17,9.97,0.07,84.54,9,2065.52,0.20,2.17,198.59,1
904,18497.50,90.99,0,2.64,66.93,10,4.29,9.95,0.05,81.48,5,1894.40,0.28,6.23,248.11,1
198,5327.35,88.34,1,4.79,61.91,8,1.31,5.39,0.06,88.53,0,1989.15,0.48,5.83,196.78,1
783,14956.85,97.55,0,1.61,69.86,18,3.47,7.08,0.04,97.63,6,3153.92,0.29,9.48,373.12,1
971,19450.92,84.08,2,3.79,65.73,19,2.00,5.85,0.07,83.01,2,2165.25,0.13,7.25,341.15,1
646,19052.34,91.15,0,1.84,67.40,2,1.40,9.51,0.06,99.84,3,4978.51,0.14,2.45,453.64,1
712,11281.90,99.44,1,0.82,61.44,23,1.80,8.55,0.01,89.91,7,3540.05,0.44,5.14,150.82,1
561,8902.37,90.25,2,4.09,93.26,7,4.15,7.24,0.03,86.58,0,4566.17,0.22,6.88,185.19,1
742,15962.31,85.82,0,1.59,83.66,5,4.81,4.24,0.05,87.87,7,4741.85,0.37,6.09,315.94,0
868,19719.46,89.39,4,3.76,74.32,19,4.68,8.38,0.10,89.03,8,3704.43,0.30,1.97,235.37,1
317,14812.62,86.10,0,4.80,62.81,19,0.07,2.96,0.03,91.83,0,4528.01,0.31,4.39,297.89,1
602,7971.46,83.85,5,1.37,99.21,23,2.19,9.95,0.09,99.22,6,3271.19,0.13,4.25,466.12,1
497,11958.99,85.96,2,4.14,67.34,1,4.89,6.33,0.09,90.83,4,2467.42,0.31,6.69,367.44,1
970,19580.08,95.60,4,4.86,87.16,18,3.92,8.46,0.03,96.27,4,2783.68,0.19,9.72,454.31,1
894,14127.91,89.43,5,2.65,90.54,6,2.90,9.69,0.08,87.46,0,4741.48,0.36,8.72,217.17,1
492,10242.60,84.55,4,3.77,77.17,10,0.13,8.98,0.05,89.31,5,3636.74,0.12,5.47,154.28,1
114,7268.70,86.65,2,1.33,66.03,3,0.89,6.37,0.02,97.21,0,4030.37,0.39,7.07,484.53,1
957,8379.75,98.80,5,2.49,71.15,19,0.28,4.25,0.07,88.31,7,2239.44,0.27,2.03,353.38,1
991,17759.24,99.76,3,4.92,68.44,4,2.83,9.57,0.03,99.50,3,1781.20,0.35,5.67,368.60,1
560,13418.34,89.70,1,0.93,69.55,23,0.64,7.82,0.06,80.85,6,2632.58,0.48,9.19,115.90,1
790,12850.86,83.58,3,3.15,96.71,6,1.93,2.10,0.02,88.96,2,4224.37,0.21,9.71,278.26,1
674,6721.53,97.82,3,3.32,63.12,15,0.43,2.93,0.02,92.72,7,3447.72,0.48,6.23,131.03,1
963,17902.10,89.21,4,2.92,77.10,14,3.19,9.39,0.04,80.17,6,4301.65,0.34,1.93,226.34,1
842,15842.21,94.19,2,3.48,81.30,4,1.41,8.79,0.08,91.94,4,2018.81,0.40,6.16,428.64,1
340,6015.03,99.67,4,1.02,95.95,0,4.33,5.89,0.02,81.12,4,3999.00,0.46,6.38,362.51,0
663,15617.53,81.00,5,3.00,99.91,19,1.79,6.94,0.08,97.15,8,1809.30,0.32,8.10,498.23,1
584,12270.44,83.69,1,4.88,98.53,20,3.38,7.56,0.07,95.07,4,1542.13,0.28,9.92,186.28,1
330,19185.47,80.44,4,1.78,63.19,21,1.21,5.44,0.03,91.50,9,3667.62,0.32,8.84,271.05,1
848,17749.63,95.49,5,1.38,76.08,5,2.52,3.66,0.07,85.41,2,3234.12,0.49,2.32,253.49,1
754,15035.34,82.69,4,0.55,85.86,2,4.09,9.58,0.10,83.46,8,3195.88,0.41,8.57,492.08,0
640,11176.48,92.12,3,3.55,70.94,7,0.67,8.54,0.05,84.93,3,4775.54,0.36,9.64,444.38,1
259,5934.10,95.67,4,4.50,61.40,15,0.04,3.88,0.00,91.08,6,2407.58,0.19,3.53,386.12,1
938,12687.54,80.21,2,3.62,90.77,20,1.74,8.08,0.05,92.18,4,3219.59,0.10,3.12,211.04,1
798,17096.05,95.24,3,2.28,88.91,2,3.04,4.60,0.00,89.40,8,1382.43,0.37,7.13,137.90,0
342,11888.60,97.87,4,2.18,98.56,16,4.76,5.52,0.08,86.49,6,2212.03,0.42,9.06,449.88,1
185,5779.35,88.66,4,2.55,97.23,20,2.04,4.19,0.03,82.87,8,1923.47,0.21,7.79,216.97,1
677,8020.46,89.54,5,3.35,80.82,5,2.67,7.43,0.09,93.30,8,3554.02,0.23,8.03,229.60,1
781,8879.31,87.78,1,2.14,68.17,21,1.43,2.88,0.10,94.68,0,2537.40,0.22,9.81,180.12,1
673,9953.23,97.88,3,3.90,90.61,19,2.95,7.47,0.02,92.90,1,4550.29,0.21,2.89,271.32,1
745,16351.27,86.72,3,3.25,95.83,14,4.58,8.24,0.02,84.21,0,4496.59,0.24,8.12,263.50,1
127,8073.22,98.54,0,1.44,67.81,1,0.91,3.45,0.05,97.32,6,2562.98,0.23,9.96,235.90,1
439,18058.68,89.06,5,1.51,60.37,7,1.45,7.49,0.09,92.13,9,2104.19,0.24,3.15,388.60,1
897,8581.94,85.57,2,1.38,68.01,12,4.60,2.88,0.09,89.45,8,1879.88,0.43,6.93,336.34,1
739,19774.84,82.86,3,4.00,93.71,14,0.84,3.79,0.04,94.79,5,4945.43,0.10,9.58,377.77,1
605,16580.19,91.60,1,1.53,70.34,11,0.32,3.76,0.06,93.45,1,4266.69,0.13,3.65,177.70,1
447,5407.51,85.65,3,2.87,71.39,14,1.47,5.68,0.09,90.40,7,3919.40,0.40,3.66,148.26,1
330,11958.97,88.10,0,3.11,75.16,6,4.38,9.87,0.10,82.16,4,4079.63,0.26,3.21,366.11,1
289,18638.30,99.98,0,4.45,60.38,16,0.59,2.61,0.08,85.98,1,4788.13,0.16,4.77,166.25,1
324,13080.53,81.10,0,4.40,71.35,4,2.07,4.45,0.10,84.23,6,3405.38,0.16,4.33,340.68,1
484,12467.19,91.57,2,2.53,64.77,19,1.36,5.06,0.07,99.05,2,1618.45,0.42,3.46,446.01,1
476,6582.11,81.65,3,0.57,64.11,9,0.07,5.95,0.09,88.20,4,1655.43,0.43,1.37,391.03,1
732,17331.55,88.79,5,3.23,83.73,17,4.07,2.66,0.03,96.36,0,2333.87,0.22,8.00,415.73,1
727,10706.30,90.21,1,3.01,67.57,23,1.11,4.06,0.02,96.25,1,4640.99,0.47,4.95,141.63,1
844,16634.18,85.18,5,3.43,74.45,9,0.76,6.43,0.09,84.31,4,3446.57,0.35,3.62,181.53,1
358,19467.15,86.33,4,1.19,94.48,1,0.72,8.14,0.01,88.95,3,3705.97,0.42,3.74,115.24,0
458,8056.50,81.74,2,3.41,76.97,5,2.32,7.49,0.04,86.36,0,1023.28,0.10,5.99,157.99,1
510,16892.82,98.89,4,2.03,75.95,4,1.92,8.97,0.01,85.00,0,3823.49,0.24,9.91,364.84,0
748,13663.90,86.70,0,3.69,90.02,6,1.05,5.68,0.05,86.27,7,2530.55,0.39,1.37,376.63,1
324,10939.56,80.12,5,3.67,86.08,0,3.99,7.54,0.09,96.49,0,3639.67,0.41,5.02,294.45,1
918,18726.35,96.21,4,1.52,79.48,10,2.81,5.19,0.07,96.38,5,4677.36,0.15,1.37,267.97,1
333,12995.43,98.97,0,4.08,91.62,22,4.16,2.23,0.10,94.49,6,4980.82,0.39,5.30,466.76,1
783,7369.32,81.83,4,3.34,96.65,6,0.02,2.75,0.01,93.79,1,1791.28,0.50,9.36,103.81,1
763,15438.49,83.23,2,3.14,75.53,5,3.75,8.76,0.04,90.95,4,4242.13,0.48,1.10,121.40,1
926,16898.92,99.21,1,2.09,83.86,5,0.26,2.45,0.08,86.94,4,1649.28,0.42,4.28,297.00,1
771,17857.69,80.28,1,3.19,99.26,15,3.51,3.47,0.03,97.18,0,1400.74,0.37,2.39,263.29,1
332,19752.82,93.86,4,2.45,70.17,18,4.31,2.31,0.05,80.53,4,3514.80,0.14,1.09,450.96,1
791,7110.67,94.66,0,1.41,90.90,18,4.51,3.42,0.06,96.79,2,3711.84,0.34,8.22,247.43,1
212,8030.24,99.91,4,1.46,70.62,18,4.46,7.20,0.00,83.54,8,3477.73,0.10,1.60,195.82,1
929,7763.37,85.75,1,0.53,68.35,17,4.04,5.99,0.10,93.48,2,2176.12,0.46,5.72,407.20,1
596,18409.85,90.76,2,1.85,97.77,5,4.10,8.38,0.08,87.15,6,4347.84,0.30,7.66,423.03,0
541,14814.39,90.67,3,3.87,60.77,1,2.86,2.49,0.00,96.32,9,3206.74,0.20,3.18,319.96,1
367,11604.85,83.38,4,1.41,65.97,5,0.43,9.97,0.08,86.49,9,4948.26,0.44,2.58,486.93,1
609,14229.47,99.55,2,4.82,92.78,19,3.25,2.13,0.01,86.48,7,2134.03,0.47,8.69,288.41,1
486,17054.05,92.06,4,3.68,68.67,14,1.16,7.54,0.09,94.22,3,1500.90,0.33,7.45,495.81,1
212,12578.10,84.55,4,3.75,83.42,5,3.25,4.34,0.07,86.38,0,2416.96,0.33,7.38,217.17,1
712,19506.90,90.88,5,0.88,73.92,2,1.21,6.17,0.05,89.80,3,4206.75,0.41,9.98,347.04,1
724,11266.41,93.90,1,1.49,86.30,10,2.30,6.08,0.01,81.52,5,1947.03,0.19,4.52,377.59,0
180,19761.65,90.30,1,0.54,60.63,7,2.39,4.89,0.07,96.55,9,2973.16,0.31,8.78,185.57,1
798,15018.80,99.81,0,3.72,62.57,21,0.89,7.74,0.04,85.32,5,3522.52,0.23,5.02,335.38,1
212,14520.07,92.23,2,2.05,63.99,17,4.38,6.80,0.06,97.78,5,3684.65,0.14,9.08,225.80,1
101,7489.32,87.42,3,4.04,76.76,16,2.63,6.07,0.03,91.94,6,3913.24,0.14,1.82,441.68,1
319,11412.35,83.41,4,4.19,95.53,18,1.31,9.52,0.03,83.25,9,2571.44,0.35,8.65,430.51,1
665,7433.50,87.69,0,1.09,69.79,23,0.86,9.64,0.08,81.39,0,3826.53,0.14,8.37,179.87,1
324,12910.99,95.64,0,2.34,71.55,3,0.74,4.80,0.04,82.39,5,4872.63,0.46,4.44,254.70,1
484,15790.30,89.68,2,2.07,76.36,6,0.39,3.85,0.00,96.71,5,4460.88,0.35,1.09,171.89,0
502,18353.87,95.88,0,3.94,80.96,4,4.48,9.89,0.09,88.34,8,2159.45,0.49,1.23,136.76,1
152,7811.18,96.20,1,4.27,66.11,13,4.80,3.59,0.03,98.26,3,2725.93,0.11,3.51,326.68,1
829,17285.95,84.49,4,4.74,62.94,1,2.65,3.98,0.06,95.52,0,3760.92,0.25,9.47,314.02,1
809,15653.64,85.22,3,0.90,73.51,17,0.69,2.61,0.04,99.79,3,1883.36,0.22,7.07,162.23,1
515,9715.25,80.18,4,1.81,63.11,12,3.86,6.58,0.03,84.08,1,2631.37,0.16,9.05,297.58,1
538,11888.98,88.91,3,3.18,60.77,12,4.17,3.21,0.03,88.24,7,3473.58,0.17,6.16,472.90,1
302,10366.97,99.34,0,3.40,86.14,11,1.38,9.32,0.08,87.18,8,1343.44,0.47,5.58,260.00,1
222,17423.74,97.27,4,1.03,86.91,21,2.30,2.04,0.02,93.86,9,2892.19,0.39,5.99,211.73,1
500,10028.12,82.79,5,4.25,83.55,6,4.98,7.90,0.08,91.78,6,3946.93,0.48,9.55,443.89,1
866,7606.42,91.38,5,3.68,68.94,0,4.75,7.90,0.04,86.11,1,3974.28,0.16,1.48,372.98,1
393,15680.21,97.36,2,3.10,93.89,4,2.99,5.97,0.07,82.64,2,2962.17,0.27,7.84,452.24,1
379,17389.67,91.66,3,4.50,79.68,20,0.69,2.37,0.08,86.35,9,1467.73,0.23,3.09,147.01,1
936,6509.56,94.36,5,3.65,92.90,0,1.29,6.64,0.10,87.62,7,2171.61,0.26,4.36,290.41,1
709,7129.58,81.85,5,2.43,99.39,0,4.37,4.17,0.00,87.15,6,4124.11,0.36,5.01,458.84,0
297,10219.12,89.16,3,2.72,90.82,12,0.85,7.34,0.05,80.97,5,1719.95,0.49,8.24,252.81,1
610,11755.26,87.89,4,0.75,98.64,13,1.10,4.83,0.03,89.28,9,2859.68,0.17,1.89,225.24,1
851,16232.40,97.34,3,4.80,80.57,14,1.75,6.59,0.05,96.72,3,3682.88,0.32,3.48,465.19,1
243,14767.21,84.88,4,1.08,78.95,16,4.63,5.08,0.01,83.61,3,4859.14,0.28,4.36,119.01,1
300,10285.62,99.16,2,2.78,95.21,6,3.23,8.85,0.01,89.44,5,4811.69,0.10,7.86,283.45,0
223,17621.71,84.95,5,0.62,98.57,22,1.94,8.03,0.08,87.41,2,3872.97,0.50,8.08,158.42,1
286,12069.31,86.96,0,4.66,72.98,18,0.94,4.76,0.08,91.23,8,3985.76,0.29,8.52,257.98,1
425,19686.57,97.91,4,4.33,91.95,22,1.11,5.48,0.01,98.94,3,4036.84,0.35,6.26,389.04,1
448,6893.97,88.87,1,1.53,81.82,17,4.47,8.49,0.03,93.74,1,4807.14,0.44,3.36,223.86,1
870,15142.66,86.42,3,1.05,67.19,3,2.47,7.47,0.04,88.32,1,2782.82,0.32,6.90,412.76,1
759,9876.56,90.52,1,2.14,73.90,2,1.78,6.33,0.02,85.75,6,2666.04,0.37,5.00,495.49,1
502,6044.62,85.47,2,2.78,65.84,22,3.37,8.19,0.04,97.71,2,3639.27,0.25,9.71,438.54,1
