생산량,생산비용,공급품질평가(%),배송지연(일),결함률,품질평가점수,유지관리(시간),가동중단 시간비율(%),재고회전율,재고부족율(%),근로생산성(%),월별안전사고건,에너지소비량(kWh),에너지효율,추가공정시간,추가재료비용($),결함상태
575,8037.208402,97.596755,3,4.678349,71.666351,11,3.673104,7.423427,0.070616,83.418756,1,2956.410327,0.246641,6.659813,155.136259,1
799,19371.102202,92.973659,5,3.156346,64.930225,10,0.098994,8.565607,0.026190,83.634049,6,1632.613373,0.332645,7.702509,235.956799,1
882,10519.111270,97.984978,0,3.335032,92.230553,12,3.437077,9.553029,0.050392,82.205189,5,3948.030072,0.190448,2.246788,180.392373,1
289,9903.974245,92.470106,1,4.304386,60.369693,14,2.252770,7.270545,0.046667,98.859494,0,3965.047199,0.116555,2.499178,109.575787,1
786,7233.320755,82.625759,2,1.835601,72.500218,16,2.620450,5.808757,0.079505,93.455034,5,4368.271060,0.169480,5.230584,160.725595,1
662,9584.063232,86.193834,1,2.094196,66.976422,21,2.808317,4.542648,0.083336,95.798195,8,2510.274741,0.118480,9.982328,453.231184,1
975,18149.761427,84.035899,5,4.576784,83.561558,21,3.658598,4.882194,0.028344,86.623147,2,1053.239189,0.287442,4.204422,104.814913,1
666,19945.015064,98.176530,1,4.554336,70.170096,17,4.156665,4.675845,0.082115,89.208434,6,2038.943753,0.334655,4.847747,409.540121,1
343,10524.642958,95.208001,1,4.894172,70.359938,7,3.231305,4.595724,0.017950,80.795591,3,2871.246798,0.117870,4.892021,401.384442,1
931,11729.159464,93.527967,2,4.558272,79.533526,5,2.819536,7.557000,0.076277,97.780148,0,3776.045118,0.136193,1.726307,325.695075,1
604,15831.064073,86.019326,2,1.073174,86.107562,10,1.868846,6.701672,0.024878,97.060069,6,2528.162343,0.294210,7.967549,183.379106,0
230,18292.936707,83.680895,2,4.206759,64.852188,8,0.689391,3.615960,0.029793,95.696227,0,3144.193584,0.419672,3.277914,451.223690,1
584,13895.665013,95.129022,2,2.344273,67.020458,4,4.792888,9.757008,0.085247,81.166041,3,3097.054350,0.351204,7.333004,290.030228,1
918,10872.885473,89.483159,1,4.958606,69.886990,6,2.309211,5.421804,0.042007,83.484995,8,1659.929397,0.141884,5.275809,169.282492,1
746,11189.327613,84.515791,4,2.625264,98.949929,21,2.831061,6.528691,0.099057,86.683413,4,3492.198000,0.455017,6.506018,271.609037,1
120,15434.272197,92.332440,4,2.992262,75.886100,14,3.755366,7.620808,0.015194,85.261254,6,2757.006913,0.466980,1.485745,177.966891,1
940,5048.273954,80.806677,2,2.883987,83.959604,20,0.342052,6.909419,0.046335,96.769197,6,4231.674807,0.229983,9.009691,250.403136,1
266,14293.840062,86.523405,3,1.947817,69.661713,21,4.275055,4.488414,0.073245,83.896715,2,3762.444833,0.346407,3.194711,298.675108,1
373,10332.395157,89.371140,0,0.837599,79.618381,3,3.985129,8.381653,0.000537,90.642489,7,1445.876745,0.296931,7.030858,243.960356,0
487,16912.959969,82.959167,5,4.530431,62.964767,18,3.872143,2.881229,0.015186,91.427622,0,2955.033640,0.476810,8.182172,362.817710,1
700,6394.859597,99.693090,3,4.112041,61.389686,12,0.109914,6.551967,0.002036,88.500237,3,3809.977434,0.303499,5.860348,474.367122,1
415,13823.034004,84.181947,5,1.127871,78.749341,0,2.632594,4.186538,0.099288,84.813759,9,1348.046903,0.483986,4.036006,239.259739,0
113,12214.593348,82.607063,3,3.995457,75.946372,0,0.271342,6.926099,0.076062,99.205886,3,4169.988130,0.179737,9.801130,242.295806,1
341,14634.882889,84.070697,3,3.316310,65.475213,21,2.754363,3.743948,0.037356,88.267985,1,1888.018059,0.238215,3.505957,395.320988,1
876,5972.803917,95.381223,4,2.341147,87.504057,13,3.592242,8.177597,0.015628,94.546200,5,3012.339182,0.412538,9.537961,312.236373,1
445,13699.756811,88.510113,0,1.643095,99.716140,8,0.609251,3.820291,0.009038,83.680930,0,4762.245150,0.413444,2.406017,271.535776,0
664,13422.268819,91.308319,3,4.368780,75.825873,23,3.474416,9.123137,0.053191,96.456223,2,3285.336939,0.392873,4.502999,425.523275,1
997,13409.901416,80.420183,2,3.650847,84.982345,11,2.247664,8.892439,0.097589,84.317836,8,2696.217807,0.443845,2.246460,456.414427,1
439,14052.314999,80.688626,5,2.964830,98.519038,17,4.057765,4.899148,0.067461,93.506132,9,1027.179710,0.381018,1.020164,336.234642,1
191,15147.019058,88.916511,4,3.243058,93.261399,8,2.667945,5.086562,0.036514,90.129920,5,1533.654491,0.354434,3.342327,174.041309,1
466,17074.834995,96.333105,5,0.909798,78.542089,7,1.680608,7.612028,0.050085,82.931143,1,3314.655540,0.283570,1.784894,286.514356,0
554,9047.310802,97.704778,2,2.632639,89.499579,13,1.659958,2.722988,0.099890,80.498984,8,2975.300163,0.286835,9.877110,301.748265,1
527,17375.741153,81.734131,2,1.371651,65.125402,8,4.487433,2.647355,0.051877,98.614965,1,2455.316703,0.262465,7.854880,272.882943,1
608,12473.835234,90.767262,3,1.437727,80.484154,19,2.264358,3.090594,0.096420,82.513810,6,4692.863542,0.348085,1.033343,204.972752,1
875,6155.874187,98.264594,2,3.475868,71.162411,1,2.028769,6.499803,0.001636,94.099029,0,2329.930150,0.262666,3.012819,288.928723,1
134,5878.263939,87.759455,0,4.600653,66.446548,0,0.199368,3.192018,0.072096,93.053699,4,3148.603026,0.158998,7.031118,278.618461,1
305,10013.574780,96.591317,2,2.316905,77.051236,12,1.821623,4.220938,0.062716,86.834401,6,3274.853638,0.142612,4.586969,183.797410,1
180,16773.454657,82.673913,3,1.434872,65.240582,9,4.248135,7.175291,0.068533,83.707658,2,3109.873560,0.469789,8.486583,461.372261,1
661,15615.214021,98.707890,5,3.419361,87.959404,7,3.804938,2.124990,0.057057,83.566565,3,2910.341566,0.109896,5.543747,454.136380,1
971,16829.224470,95.028466,2,4.420342,78.249602,6,1.104566,3.441893,0.004418,91.706557,4,2348.254944,0.142187,6.882863,403.846571,1
487,12759.035847,98.826688,4,3.867435,81.245785,23,2.065283,9.439445,0.014956,90.938426,2,4635.054532,0.278122,6.373337,260.378631,1
101,11602.984969,93.532345,4,4.409408,65.855038,11,0.982898,7.308621,0.092225,97.518700,5,2803.213047,0.205171,6.743520,248.136763,1
489,7211.787901,87.268079,4,2.914496,65.590866,16,4.771084,4.444409,0.023293,92.800062,2,3113.795469,0.262340,3.070890,386.586151,1
665,9922.891304,98.763623,5,3.883443,83.336617,11,2.990589,2.362427,0.099294,96.385500,7,3625.911935,0.146979,4.359605,343.247694,1
205,11510.290493,85.511336,1,1.130291,99.400390,15,3.771774,6.688390,0.067959,80.648261,6,1270.624170,0.152363,1.455663,340.239330,1
871,6329.006445,86.643450,4,2.067236,63.850023,9,3.569043,3.782930,0.044435,93.419863,0,4125.152566,0.420263,6.288729,149.644611,1
921,8309.179291,94.016168,4,2.252971,71.429257,11,4.368447,9.681404,0.092005,84.674173,1,3050.029240,0.403643,5.133326,347.313512,1
576,13973.379411,95.306326,1,2.800831,94.778365,10,4.746639,7.495688,0.079499,85.056779,3,3628.707743,0.141701,7.846445,460.745204,0
802,16034.946714,98.588070,5,4.680844,62.890880,13,0.162231,9.792991,0.042897,94.411531,4,4088.048262,0.367116,2.857442,134.326588,1
501,19975.212671,84.096048,4,4.434335,95.035429,21,4.876506,8.791191,0.006859,95.868659,9,4496.397563,0.343725,4.931309,235.668520,1
829,18996.699970,95.959961,3,1.105365,80.971439,19,4.352712,5.864219,0.086830,87.434710,3,2568.881668,0.385345,2.626709,303.605717,1
655,14638.477993,94.770921,5,1.277553,76.330671,12,1.914737,7.356505,0.076504,95.801536,3,4245.719571,0.289780,6.525813,374.403798,1
261,11318.720799,81.275891,4,2.109382,72.387223,1,4.185346,8.496858,0.079073,88.874894,8,2035.347582,0.207995,8.632272,135.853972,1
301,14542.660471,87.744463,4,1.808347,71.884686,19,3.682790,6.625428,0.074486,97.152907,3,3641.342604,0.365472,7.888989,449.122477,1
369,16784.774271,85.655309,1,3.266469,72.232103,6,3.965572,2.491900,0.027575,80.498075,3,1410.829203,0.248543,9.497782,116.218248,1
962,6775.042864,86.089808,3,4.562492,95.392123,0,1.103455,5.763571,0.085885,81.669901,3,1080.121870,0.187581,9.745532,443.075867,1
915,11148.573345,99.658938,5,4.830312,88.951809,2,3.242819,3.044587,0.000223,95.527036,1,1383.052504,0.263452,7.948305,111.060702,1
370,17597.034285,92.855548,2,3.441213,86.788920,19,0.129629,7.718774,0.023728,92.481793,7,2277.529946,0.405308,3.581255,161.409322,1
555,10757.494279,94.353523,0,4.271716,91.949966,11,4.241146,7.445031,0.004656,91.180405,3,1124.378455,0.290317,2.973352,420.129531,1
561,13578.084068,99.532353,3,2.863410,70.284587,4,4.755215,9.943266,0.011060,92.279576,4,3521.965089,0.219946,5.027941,444.065775,1
826,13816.540413,87.544036,2,1.437471,84.721712,11,3.310617,7.030478,0.053238,98.603813,7,2266.178154,0.432747,9.944953,492.906332,1
351,7767.143797,96.036803,3,2.861098,78.402650,2,2.563348,8.401104,0.003726,93.110741,3,3945.504271,0.452658,4.714012,146.285931,0
801,10433.531625,88.690619,2,2.997872,91.297665,19,3.628655,4.146303,0.018138,92.949522,4,1183.660545,0.273300,2.791616,310.580446,1
395,10017.669331,97.390673,2,3.841059,72.370244,4,1.631806,4.720193,0.023274,95.189418,4,1866.806266,0.249875,9.499086,130.862331,1
824,5392.950628,83.613151,3,1.489473,85.727145,0,3.131939,9.336194,0.065534,97.332414,5,2632.013701,0.345080,4.473262,162.563050,1
819,5362.876458,98.953724,1,2.157397,95.288496,15,3.594865,8.041538,0.046882,85.238250,6,2530.606249,0.123190,7.218090,169.797543,1
848,17475.455655,84.375434,3,2.138124,76.086019,8,0.713404,7.242153,0.045841,92.334977,2,1523.994691,0.376529,8.093377,125.355301,1
437,9096.062150,86.524410,3,4.817478,62.664883,9,0.700340,4.032222,0.076843,91.679499,9,4976.547254,0.412915,8.588403,457.191922,1
978,12771.181494,95.123845,2,2.497752,80.642033,9,3.580691,7.588623,0.045672,82.696990,2,2137.758323,0.258977,8.391523,150.542207,1
152,9480.883604,87.875103,0,3.897923,73.838900,12,2.158912,9.094109,0.034849,90.406339,8,3884.128339,0.169846,8.526222,351.736337,1
891,19110.188677,92.164228,2,3.878651,86.889015,15,4.446007,3.846381,0.096245,81.391010,0,1880.106789,0.111527,7.008881,350.298826,1
316,8889.451383,88.891470,4,1.694949,98.041317,19,1.559694,7.648992,0.000829,83.699192,9,4511.404843,0.354898,4.634480,179.458082,1
863,11444.852191,94.847399,3,3.073414,79.424333,3,0.212154,5.149552,0.030539,98.259262,7,2551.033241,0.207597,7.005582,499.364504,1
287,18090.953757,84.566625,5,4.524363,78.647609,13,3.249380,2.950139,0.060939,82.384864,9,4603.609956,0.285556,8.530609,238.947109,1
479,17629.003502,81.169160,3,2.638390,86.183392,16,3.421196,8.107685,0.078281,91.578326,2,2367.339679,0.254542,4.155782,462.037748,1
592,7791.521268,85.998588,1,4.753029,64.139900,4,2.767958,3.337094,0.081641,86.469614,4,1034.575286,0.169954,3.668572,479.313893,1
140,17039.649647,89.486173,5,1.465062,70.140248,12,3.416663,4.023170,0.004607,91.106266,2,3068.081724,0.303347,4.093365,479.595526,1
256,11872.803301,83.360401,2,0.833716,96.759173,2,2.618772,8.263536,0.070913,84.699471,9,3099.151745,0.283837,5.961551,401.135035,0
114,12244.533081,87.095946,1,4.511542,86.797705,4,3.463164,7.937062,0.072025,88.887589,0,1479.336731,0.349659,1.471995,201.522002,1
912,7002.199586,87.999660,3,4.314565,60.537762,15,0.219687,4.033465,0.021408,97.346669,9,1939.854294,0.200754,8.010737,148.262141,1
164,6209.022706,81.147837,2,4.966654,68.185019,18,1.841987,9.527717,0.011278,87.524340,4,4133.982364,0.185856,2.249668,327.953991,1
956,15919.089605,91.666145,2,3.557271,87.313491,18,1.054085,3.722282,0.074969,87.060619,7,1147.023299,0.425738,2.195548,244.015652,1
938,12446.917285,97.686869,4,4.715096,90.575968,16,0.496631,9.948978,0.024950,88.922362,4,2958.106747,0.380877,2.778932,432.415605,1
620,11552.760539,83.034858,4,4.221271,93.594383,17,1.170463,7.903199,0.000167,82.009857,3,3121.632494,0.408883,6.192347,397.996021,1
443,15942.623430,91.956160,0,4.299918,71.687072,17,0.956553,5.140062,0.022357,87.746940,8,3754.848243,0.149316,3.570115,210.587318,1
228,16482.693485,93.294784,4,3.061137,97.241144,22,4.865657,3.042794,0.003107,80.138005,0,1149.825070,0.189616,4.312813,106.806093,1
747,7383.622515,88.386694,5,2.220641,82.117876,7,1.432730,4.564080,0.024919,90.067943,4,3342.585308,0.330213,9.384842,194.926304,0
571,14153.377242,94.021952,2,4.705511,87.861561,17,1.154795,3.549908,0.033502,96.958822,0,1012.392146,0.442881,8.624820,326.846234,1
162,7030.311234,88.214631,4,2.444527,83.869555,8,4.174373,6.974717,0.027140,91.041462,5,2060.713469,0.456846,8.669715,131.598989,0
238,16270.626290,90.092746,0,2.924687,64.909602,18,2.095581,4.854841,0.091994,92.154504,9,2998.737021,0.432764,6.198776,363.309040,1
598,14854.327344,80.147061,3,2.507514,98.524586,9,2.107327,4.360058,0.023253,80.611267,8,4645.125350,0.117359,8.798195,368.678514,0
692,19349.219316,93.834402,5,3.041682,64.915023,1,2.217952,8.057066,0.046753,97.190300,1,1506.359264,0.428352,8.007092,167.757569,1
491,6034.370245,93.226854,4,2.617273,70.195278,16,2.082673,3.844795,0.095743,87.700071,3,1677.156516,0.459636,9.579131,338.527294,1
774,5855.820817,80.768018,2,0.715854,92.545115,23,1.632827,6.695115,0.087920,99.497054,7,3677.000258,0.122700,1.579316,342.788571,1
518,9232.806120,87.365002,3,4.469217,84.743878,12,1.431697,3.556769,0.030926,82.409307,2,2499.446775,0.266512,1.258544,291.191259,1
388,8925.585256,99.580637,2,2.499772,93.525967,10,4.409798,7.718389,0.032649,98.893438,6,3493.685608,0.314644,2.575269,481.298323,0
478,8704.681986,88.414731,3,3.150246,80.629448,15,0.808537,7.000972,0.059333,92.685818,6,4989.816669,0.193100,9.361763,143.265272,1
872,18593.818708,90.038908,5,1.126345,75.079729,19,0.905312,8.385228,0.091786,81.046806,1,4947.486645,0.306674,6.450086,262.650267,1
589,8743.192998,98.198603,2,0.515245,96.873820,6,2.858596,2.547977,0.001000,99.433982,9,2414.854318,0.454382,4.835013,453.168309,0
330,9079.245892,94.345238,4,1.603805,61.450093,2,1.718293,3.680844,0.039312,80.277461,3,3015.701415,0.446777,5.614400,254.525607,1
140,16390.973936,91.641403,4,3.670637,94.245209,15,2.107647,3.235683,0.084978,94.614003,0,4618.760635,0.475935,8.466441,269.855844,1
127,11746.097637,95.956094,0,0.946375,69.232711,18,4.032733,3.524490,0.041047,97.790599,7,1368.670650,0.293644,9.361990,367.309552,1
234,16650.658354,97.287325,3,4.589993,93.949453,19,4.518155,2.824113,0.072005,83.516231,9,2809.215615,0.264227,7.567290,366.225420,1
300,5980.492363,89.137761,0,1.467602,65.567865,15,3.952768,6.496655,0.069192,86.867144,9,2510.309393,0.366315,7.838630,109.160783,1
939,12313.567905,89.502167,1,1.420671,83.208759,1,1.174641,6.747451,0.020546,91.224587,8,2179.531091,0.266704,3.883402,282.278970,1
879,5504.204003,87.721019,4,1.316786,95.524317,13,4.899856,8.747918,0.044959,93.596186,0,4976.816848,0.116778,5.203317,233.404738,1
132,5939.798052,99.334123,3,0.562918,78.941586,19,1.815883,5.341905,0.056619,97.437517,6,3934.197176,0.387969,8.966892,351.078099,1
147,18596.561800,93.943325,5,3.973125,89.862667,9,0.845335,6.259078,0.071546,95.221409,0,2554.987970,0.212394,8.073407,322.280926,1
602,7088.680567,81.664461,0,4.437655,92.186865,18,2.497484,9.930432,0.082239,87.266623,0,4316.087567,0.119634,7.158438,360.344651,1
506,12986.310234,97.259192,5,3.263732,89.459768,23,3.626429,6.254761,0.075993,96.434396,8,2958.664403,0.108248,1.587222,361.506955,1
673,11166.434039,89.611199,5,1.346900,97.013189,10,0.416354,6.588609,0.002831,99.321534,9,4491.297649,0.472545,1.355565,201.948745,0
827,10210.149894,81.375078,5,1.783751,77.873369,17,3.171435,9.967339,0.067064,84.539724,9,2065.519383,0.200830,2.173698,198.585906,1
904,18497.500185,90.994345,0,2.641670,66.925018,10,4.290390,9.953035,0.049732,81.481912,5,1894.400910,0.279160,6.232520,248.112958,1
198,5327.350952,88.343286,1,4.794557,61.912443,8,1.308907,5.392244,0.057386,88.532395,0,1989.146725,0.480231,5.827482,196.783384,1
783,14956.845293,97.554988,0,1.613081,69.858395,18,3.465616,7.079575,0.037297,97.627942,6,3153.922305,0.287007,9.484217,373.123231,1
971,19450.916513,84.079892,2,3.792407,65.727900,19,1.999543,5.846420,0.071403,83.005830,2,2165.253565,0.131444,7.252837,341.146390,1
825,13402.522752,96.529292,4,2.477517,82.317950,9,2.070676,7.765724,0.067389,97.715964,9,1588.478737,0.320774,3.645754,186.554803,1
646,19052.336930,91.153774,0,1.840313,67.397813,2,1.404070,9.507092,0.057949,99.844260,3,4978.511674,0.135279,2.453467,453.641924,1
838,5783.868189,81.092206,0,2.551622,61.557348,2,3.121969,4.477274,0.086161,81.080045,3,4601.732910,0.138035,8.645799,284.265046,1
712,11281.899786,99.436906,1,0.820430,61.439593,23,1.804996,8.551001,0.010190,89.905127,7,3540.049750,0.440591,5.136617,150.821289,1
561,8902.366864,90.252305,2,4.094093,93.262780,7,4.154515,7.238791,0.030102,86.577710,0,4566.171496,0.215769,6.881225,185.186235,1
742,15962.314475,85.817537,0,1.594859,83.657997,5,4.814527,4.241478,0.049513,87.873597,7,4741.850950,0.371468,6.086292,315.940225,0
868,19719.456357,89.388137,4,3.764355,74.323412,19,4.675438,8.378397,0.095860,89.032695,8,3704.433167,0.303570,1.967107,235.369607,1
104,8847.950937,97.157156,4,0.807568,95.769122,0,0.815642,5.417064,0.007196,94.794079,6,3074.719115,0.188931,1.513525,440.488775,0
317,14812.619022,86.098062,0,4.797944,62.807864,19,0.070951,2.963177,0.033708,91.825994,0,4528.007169,0.307128,4.393164,297.894163,1
602,7971.464491,83.853528,5,1.368567,99.212883,23,2.192342,9.947331,0.092589,99.224022,6,3271.187988,0.127597,4.253953,466.117920,1
866,13479.953819,82.581425,5,4.472339,84.651672,5,3.644419,5.405171,0.089795,86.655292,5,1507.202171,0.238885,7.064183,140.730592,1
497,11958.987300,85.957188,2,4.142629,67.338570,1,4.887276,6.332420,0.086525,90.830082,4,2467.424002,0.309134,6.689804,367.437253,1
970,19580.079944,95.600962,4,4.855370,87.162764,18,3.917112,8.463694,0.030839,96.266571,4,2783.683807,0.191358,9.720468,454.313941,1
894,14127.909090,89.432527,5,2.650508,90.535250,6,2.902747,9.687009,0.084684,87.460568,0,4741.476065,0.364075,8.722896,217.172190,1
492,10242.595581,84.549632,4,3.773288,77.173711,10,0.131765,8.983103,0.050534,89.305984,5,3636.741889,0.120725,5.469243,154.275039,1
306,6711.436773,83.323700,2,2.168198,94.465304,10,4.127703,6.200426,0.061978,93.699491,3,4501.110251,0.293924,5.500228,282.657895,0
114,7268.702431,86.654590,2,1.329657,66.029296,3,0.885725,6.365569,0.023882,97.214884,0,4030.366803,0.385998,7.067163,484.533691,1
957,8379.753949,98.798487,5,2.493842,71.153503,19,0.278033,4.247095,0.070667,88.313629,7,2239.443546,0.271978,2.026815,353.384770,1
653,8764.499920,86.860534,0,1.245871,63.739694,15,4.251794,5.702423,0.032770,90.639009,7,3874.835972,0.449835,9.999015,357.590788,1
991,17759.240868,99.762482,3,4.919201,68.435114,4,2.831254,9.574711,0.034388,99.502446,3,1781.198944,0.352877,5.669273,368.600502,1
560,13418.341824,89.704609,1,0.933109,69.549152,23,0.642758,7.815528,0.063682,80.849383,6,2632.583247,0.483397,9.189144,115.904550,1
790,12850.863671,83.583278,3,3.151453,96.705328,6,1.932713,2.095016,0.023983,88.964574,2,4224.367429,0.213649,9.706207,278.259921,1
674,6721.533078,97.822802,3,3.319087,63.124388,15,0.427708,2.932054,0.022444,92.719637,7,3447.716648,0.475516,6.234785,131.028804,1
963,17902.095400,89.207107,4,2.921358,77.096605,14,3.190054,9.390490,0.036916,80.168549,6,4301.650024,0.342729,1.930138,226.343532,1
842,15842.214548,94.193427,2,3.479836,81.295947,4,1.412136,8.789755,0.077806,91.935730,4,2018.814329,0.398072,6.160112,428.639610,1
340,6015.025429,99.674232,4,1.022813,95.947722,0,4.330471,5.889316,0.022468,81.123999,4,3998.995330,0.460864,6.378782,362.507980,0
663,15617.526458,81.003507,5,2.997583,99.907849,19,1.788980,6.935826,0.078732,97.151168,8,1809.297446,0.320479,8.102738,498.229079,1
195,13153.073260,81.933891,1,1.792457,90.135525,21,2.473169,4.317168,0.069561,96.141722,5,3181.216690,0.444872,1.434063,168.861770,1
999,6225.880186,94.409135,5,4.730792,98.831640,21,0.317617,8.342646,0.067908,80.645103,5,2734.138378,0.316679,5.196838,258.821694,1
833,11874.509623,85.636500,0,3.929322,91.484045,8,1.377963,6.826540,0.047476,80.976080,1,3225.903431,0.339680,9.304932,423.856087,1
584,12270.444307,83.686028,1,4.876315,98.528106,20,3.383836,7.558606,0.074589,95.072279,4,1542.133696,0.278039,9.921692,186.276641,1
506,7486.618102,80.787238,4,0.669002,88.290829,4,3.681314,4.999279,0.001352,87.390898,3,2444.911502,0.158255,2.722444,161.488739,0
330,19185.472205,80.436934,4,1.783099,63.190537,21,1.214109,5.443504,0.030561,91.500516,9,3667.615323,0.321401,8.835391,271.045023,1
